Codigo,Descripcion,Familia,Stock
V02FN38,FRESH ENROLLADO DE PATO 10 Uds,DAPAC PREMIUM SNACK,0
V02FN39,FRESH ESPIRALES DE POLLO 28 U+-,DAPAC PREMIUM SNACK,0
V02FPC01518,DISPLAY FRESH PILLOW ARANDA 40GR,DAPAC PREMIUM SNACK,0
V02FR01,RAW CECINA DE BUFALO 1 KG.,DAPAC PREMIUM SNACK,0
V02FR03,RAW ESOFAGO DE BUFALO 800 GR.,DAPAC PREMIUM SNACK,0
V02FR10,RAW PULMONES DE BUFALO 300 KG.,DAPAC PREMIUM SNACK,5
V02FR23,RAW HOCICO NATURAL BUFALO 1 Ud.,DAPAC PREMIUM SNACK,71
V02FR25,RAW HOCICO BLANCO BUFALO 1Ud.,DAPAC PREMIUM SNACK,83
/27,CARGO,,0
/66,,,0
/76,,,0
/84,,,0
/91,,,0
12101PU2B,"ZEN DOG PUPPY CHICKEN 2,5 K(21,9",DAPAC SUPER PREMIUM ZEN,81
121DAT25LV1A,ZEN POUCHES CORDERO 12x100 GR.,DAPAC SUPER PREMIUM ZEN,11
121M-L03,MUESTRA ZEN CHICKEN 200gr.,DAPAC SUPER PREMIUM LOW ZEN,50
121Z6148-TIENDA,ZEN PATE BUEY &VEGETALES 400 GR,DAPAC SUPER PREMIUM ZEN,-15
121Z6150,ZEN PATE ATUN&POLLO 400 GR.(12),DAPAC SUPER PREMIUM ZEN,111
122DAJ02AN2B,"LOW ZEN MINI ADULTO 2,5 KG""17,90",DAPAC SUPER PREMIUM LOW ZEN,66
122M-J01,MUESTRA ZEN LOW PUPPY MED 200gr.,DAPAC SUPER PREMIUM LOW ZEN,52
12912131625-TIEN,GOURM GOLD MOUSS PES OCE 85 (1),NESTLE,0
12912254209,GOURM GOLD TERRI CONEJO 85G (24),NESTLE,23
12912254209-TIEN,GOURM GOLD TERRI CONEJO 85G (1),NESTLE,0
A2252019917,*** CORREA NYLON REDON ROJO 10x9,ARPPE,5
DOG0317,COLCHON COMPACTO MARRON 120 CM.,PERIS TEXTIL,13
FOP25120070,BANDEJA GATO S/MARCO 42x33,ACCESORIOS DAPAC,20
M47001451-TIENDA,CANINE GASTROINTEST.150 G(TARRIN,MONGE,0
M47001464-TIENDA,FELINE RENAL C/OXALATO 100G(TARR,MONGE,0
P1155570000,TAMAR RECOGEDOR HOJAS FONDO LUXE,TAMAR PISCINAS,6
P1230260050,INCREMENTADOR PH+ LIQUIDO 5L.,TAMAR PISCINAS,17
PA175002,PASTOR ZERKO-RED 2 J.,CABALLOS ACCESORIOS,1
PA506,MUELLE PUERTA 5 metros,CABALLOS ACCESORIOS,6
PA610002,CARGADOR BATERIA Z-50 C/PINZAS,CABALLOS ACCESORIOS,1
PRAG100.01,ALGA CONTROL 100 ML.(anti algas),PECES,15
PRFIL100,FILTERWATTE 100 GR(perlon en zig,PECES,15
PRMF100,MAGIC FILTER 100 (50-100 L.),PECES,19
PRNFLORA100,NUTRONFLORA 100 ML(abono liquido,PECES,30
PRPDM180,PONDFOOD MIX ESTANQUE 150 GR,PECES,4
PRPSC1200,"CUBO PONDSTI ESTANQUE COLOR 1,2K",PECES,8
PRTA100,TABLET 60 GR.(peces fondo),PECES,33
R411272,PLANTADOR CODO ACERO,JARDINERIA - SEMILLAS,2
REP264056,REGADERA OREWORK 7 LT.,JARDINERIA - SEMILLAS,1
S091301,CALABACITAS ADORNO VARIADAD,JARDINERIA - SEMILLAS,1
S097315,TOMATE MINI BELL (TIPO CHERRY),JARDINERIA - SEMILLAS,1
S710521,FERTILIZANTE PLA.VERDE(sobre 5L),JARDINERIA - SEMILLAS,4
S710610,FERTILIZANTE GERANIOS(sobre 5 L),JARDINERIA - SEMILLAS,4
S730174,INSECTICIDA TOTAL AEROSOL 250 ML,JARDINERIA - SEMILLAS,4
SA01380000,& NORIA - RUEDA HAMSTER PLASTICO,,5
T1-60272,JABON POTASICO 500 INSECT. ACARI,JARDINERIA - SEMILLAS,11
TX680504,CAPA PARIS ROSA T-S 40 CM.,ARTICULOS VP,1
USTV1000,BOLSA TRAMPA 5 Udes.NOCTURNA,JARDINERIA - SEMILLAS,10
V0117013NVNE3XL,ABRIGO NEGRO ACOLCHADO T-3XL 56C,ARTICULOS VP,2
V011802NE3XL+,ABRIGO NEOPRENO NEG/RO T-3XL+61C,ARTICULOS VP,0
V01VAD27017,PORTA JIBIA PLASTICO,NOBBY,27
V01VAD69925,GALLETAS HUESO GRANDE 10 KG.,NOBBY,15
V01VAD72634,"& CARDA METALICA T-L  5,5x11",NOBBY,74
V01VAD72755,BEBEDERO PORTATIL 250 ML.,NOBBY,47
V01VAD73160-01,& CORREA CLASSIC NYLON ROJA T-XS,NOBBY,13
V01VAD73160-64,CORREA CLASSIC NYLON FRAM T-XS,NOBBY,14
V01VAD73164-05,& ARNES CLASSIC NYLON NEGR T-XXS,NOBBY,18
V01VAD73250-06,CORREA NYLON RASTREO AZUL  5 M.,NOBBY,6
V01VAD73828,*** COMEDERO FUSION AZUL 16CM,NOBBY,1
V01VAD73858, COMEDERO FUSION NEGRO 20CM,NOBBY,1
V01VAD74702-32,*** COLLAR CLASSI NYLON CELE S-M,NOBBY,10
V01VAD75328,CORREA CINTURON COCHE 25m,NOBBY,494
V01VAD78501-01, COLLAR NYLON MINI 10x20 ROJO,NOBBY,2
V01VAD78509-77,*** COLLAR SUAVE AGARRE FUC XS,NOBBY,10
V01VAD78514-05,CORREA SUAVE AGARRE NEGRO T-S,NOBBY,14
V01VAD78520-01,& ARNES SUAVE AGARRE ROJO T-S-M,NOBBY,29
V01VAD78571-01,ACOPLE NYLON 2 PERROS ROJO 40 CM,NOBBY,17
V01VAD79325, PELOTA CUERDA T-M  8 CM.,NOBBY,5
V01VAD80400-32,*** COLLAR NYLON CAMUFLAJE AZU,NOBBY,2
V01VAD80402-32,*** CORREA NYLON CAMUFLA XS-S AZ,NOBBY,2
V01VAD80520-04,COLLAR NEOPRENO CLASSIC L NARAG,NOBBY,4
V01VAD80522-64,COLLAR NEOPRENO CLASSIC S-M FRAM,NOBBY,12
V01VAD80523-64,COLLAR NEOPRENO CLASSIC M-L FRAM,NOBBY,23
V01VAD80524-32,COLLAR NEOPRENO CLASSIC L-XL CEL,NOBBY,15
V01VAD80624-32,ARNES MESH REFLEC CELESTE T-XS,NOBBY,14
V01VAD80627-01,*** ARNES MESH REFLEC. ROJO T-L,NOBBY,1
V01VAD80702-01,COLLAR NYLON CORDA T-M ROJO/GRIS,NOBBY,3
V01VAD80708-05,CORREA NYLON CORDA MULTI NEGRO,NOBBY,24
V01VAD88752-01,*** ARNES MESH NEGRO/ROJO T-XS,NOBBY,1
V021003890,SALCHICHA SAUDOG BUEY/HI 1K 8 Ud,DAPAC HUMEDO LATAS-SALCHICHA,2
V02251394-TIENDA,CALES PAJAROS( PERIQ-CANAR)(1 UN,PAJAROS,6
V027003024-TIEND,SNAC ANC FRES PUPPY 70G BOLSITA,DAPAC PREMIUM SNACK,9
V02723948-TIENDA,SNACK FRESH GRAN FREE POLLO 70GR,DAPAC PREMIUM SNACK,0
V02750372,DAPAC STICKS CONEJOS FRUTA 112 G,DAPAC PREMIUM SHAMBI,31
V02ANK1043,"COMEDERO DOBLE CON PATAS 16,5 CM",ARTICULOS VP,43
V02CAL0192,BEBEDERO ROEDOR 320 (12-EXP),NOBBY,18
V02D745200,SHAMBI CANARIOS S/ AVENA 20 KG.,DAPAC PREMIUM SHAMBI,20
V02DMDT2103,DM GUACAMAYO ROJO 30 CM.,JUGUETES DAPAC,16
V02DMDT2342,DM SERPIENTE TIRADOR,JUGUETES DAPAC,10
V02DMPEL24002,"EXPOSITOR PELOTAS FOOTBALL 6,3 C",ARTICULOS VP,2
V02DMYMD17002-FC,DM BUHO DE TELA CON CUERDA,ARTICULOS VP,17
V02DNK08007,SHAMBI CONEJO 800 GR. (10),DAPAC PREMIUM SHAMBI,276
V02DP364S,Enc. CASETA MADERA PERRO T-S,ARTICULOS VP,0
V02FD02,DISPLAY DENTAL CLEAN.BONE 30G,DAPAC PREMIUM SNACK,6
V02FD02-TIENDA,DENTALS CLEAN.BONES 30G (1-UNID),DAPAC PREMIUM SNACK,0
V02FN12B,FRESH HUESO TERNERA 5 Udes.,DAPAC PREMIUM SNACK,12
V02FN34,FRESH GALLETA POLLO 140 GR.,DAPAC PREMIUM SNACK,140
V02FN40-TIENDA,FRESH TIRAS DE PESCADO 100 GR.,DAPAC PREMIUM SNACK,-9
V02FN41,EXP. FRESH TIRAS DE SALMON,DAPAC PREMIUM SNACK,-1
V02FNRPB03,HUESO PRENSADO 14 CM. (3 Udes.),DAPAC PREMIUM SNACK,51
V02FR09,RAW TRAQUEA DE BUFALO 100 GM.,DAPAC PREMIUM SNACK,36
V02FR39,RAW PIEL DE RES CARAVACA 600 GR,DAPAC PREMIUM SNACK,20
V02FR58,ENC RAW CUELLO POLLO 600 Udes.,DAPAC PREMIUM SNACK,0
V02FR61,ENC RAW OREJA CONEJO S/PELO 500U,DAPAC PREMIUM SNACK,1
V02KMCT19060,KM 2 RATONES ROSA&BEIGE,JUGUETES DAPAC,14
V02KMCT19067,KM CA¥A DE PESCAR PEZ TRICO BEIG,JUGUETES DAPAC,12
V02PETS97038,PA¥ALES PET DAPAC M 12 Udes.32/4,PELUQUERIA Y LIMPIEZA,28
V02PR259024,DAPAC TORTUGAS MINI 75G/250ml,DAPAC ACUARIOFILIA,47
V02SHL50L,DAPAC SACO HUMUS DE LOMBRIZ 50 L,JARDINERIA - SEMILLAS,35
V02VP203-SZE,JAULA PLEGABLE DOBLE CROM 76x61x,ARTICULOS VP,2
V02W121031,RASCADOR MINI CACTUS C/JUGUETE,ARTICULOS VP,4
V02WBF306,COLLAR ISABELINO INFLABLE T-XL,ACCESORIOS DAPAC,3
V02WN138,BOMBA SUMERGIBLE Q-3500 L/H,PECES,3
V02WN141,TERMOCALENTADOR SEA STAR 25W,PECES,19
V02WN143,TERMOCALENTADOR SEA STAR 100W.,PECES,6
V02WTM805,RASCADOR SISAL TABLA C/FIELTRO,ARTICULOS VP,5
V02ZNA36KGLN,ARNES REFORZADO MULTIFU PREMIU L,ACCESORIOS DAPAC,7
V0336-CL,ADVANTIX Clinico24 d (+25kg) 4ml,PROYMA FARMACIA,3
V03B102040,(MR) BRAVECTO 20-40 kg 1/Com,PROYMA FARMACIA,3
V03D560591,FRONTLINE TRI-ACT 6 pip 40-60 KG,PROYMA FARMACIA,12
V03EL132,ADTAB PERRO 22-45 KG -1comprimid,PROYMA FARMACIA,1
V03EL146,ADTAB PERRO  22-45 K - 3 compri,PROYMA FARMACIA,3
V04VN1198,MULTIVA Calmin Dog Med-Larg 25/u,VETNOVA,3
V07H257,Enc.ARTERO COLORANTE NEGRO 97 GR,ARTERO,0
V07H314,Enc. COLOREX POLVO MARRON MD 75,ARTERO,0
V07H655,ARTERO PERFUME TIERRA 90 ML.,ARTERO,11
V07H715,ARTERO CHAMPU DETOX 5L.,ARTERO,3
V07H721,ARTERO X-MINT Corrector Aliento,ARTERO,17
V07H728,Enc. ARTE POMADA REPARADORA 100M,ARTERO,0
V07P778,Enc. ARTERO DESLANADOR 120§ T-M,ARTERO,0
V07P818,Enc. ARTERO CORTAU¥AS ERGO T-M,ARTERO,-12
V07P821,Enc. ARTERO MANOPLA GOMA VERDE,ARTERO,0
V07P936,CARDA PUA NATURE XS,ARTERO,16
V07P941,Enc. PEINE PUA ANCHA,ARTERO,-2
V07P967,Enc. CARDA DE MANTEQUILLA T-S,ARTERO,0
V07T621460,"Enc. ARTERO TIJERAS ALP ESC.6""14",ARTERO,0
V07Y330,Enc ARTERO MOSQUITO RECTO INOX,ARTERO,0
V07Y913,Enc. ACCESORIO DUCHA-MASAJE BLCO,ARTERO,0
V10612135,COLLAR NYLON BANDERA ESPA¥OLA 35,COLLARES,44
V11LLTP045M,CAMA REI CELESTE T-M 70x50,CAL REI,1
V11LLTP065M,CAMA REI ROJO T-M 70x50,CAL REI,2
V13COG020L31,SANICAT CELULOSA RECICLADA 20L.,TOLSA,56
V1450614,SILINDE CHAMPU ALOE VERA 5 L.,PELUQUERIA Y LIMPIEZA,7
V1450625,SILINDE CHAMPU REPEL INSECT 1 L,PELUQUERIA Y LIMPIEZA,25
V184033,FLEXI NEW CORDON M NEGRO 5 m.,FLEXI,6
V18CF10T5251R,FLEXI COMFORT CINTA S ROJO 5,FLEXI,24
V21013611251,"BOCADO PORTUGUES CASTE-PAVO 12,5",ZALDI,0
V21019330202,CABEZADA CUADRA NYLON FULL ROJO,ZALDI,1
V21026310000,CAZO MEDIDOR PIENSO TP7206C,ZALDI,1
V21062533505,MANTA IMPERM. Perro AZUL 35 CM,ZALDI,0
V21062536503,MANTA IMPERM. Perro MARRON 65 CM,ZALDI,0
V21066100000,LIMPIASUDOR FLEJE SIN DIENTES,ZALDI,1
V21076130002,PORTASILLA FIJO STUBBS S17 ROJO,ZALDI,0
V21098040005,SUDADERO U/GENERAL ACOLCH. AZUL,ZALDI,1
V261,KIKI ALPISTE 1 KG. (20),KIKI,86
V26199,KIKI EXOTICOS 1 KG.(20),KIKI,115
V26221,KIKI ALIMENTO LORO-COTOR 700 GR.,KIKI,82
V263124,KIKI STICK LORO MIEL 2 ud(8),KIKI,15
V26401,ENC. KIKI PASTA CRIA PROF DYNA 1,KIKI,0
V26408,KIKI ROOD PASTA CRIA ROJA 300(6),KIKI,36
V26412,KIKI GOLD PASTA CRIA AMARIL 1K(5,KIKI,72
V268802,KIKI TASTY COTORRITAS 1 Kg.,KIKI,14
V2911270,TOLVA SILO 40 LTS.,GAUN,2
V2930300,TOLVA COMEDERO PERROS 20 KGS.,GAUN,16
V2932515,JAULA MULTICAPTURA 180x365x160mm,GAUN,8
V2971245,CASETA MADERA TECHO PLANO PEQUE¥,GAUN,1
V2989100,AZUFRADORA,GAUN,2
V30AFP8232,*** JUGUETE HIDRAT.REFRES SAND,HAGEN,1
V31448975,WHISKAS CORE SELEC CARNE (13),MARS,5
V31448975-TIENDA,WHISKAS CORE SELEC CARNE (4*85G,MARS,5
V31473482,WHISKAS ANTI-HAIRBALL 6*50 GR,MARS,11
V33728998,SHAMBI PASTA CRIA TROPICAL 5 KG,DAPAC PREMIUM SHAMBI,1
V33NK05019,SHAMBI PIPAS CRUDA ROEDO 500GR(5,DAPAC PREMIUM SHAMBI,0
V45BBX10860,EXPOSITOR BUBIMEX MALTA CARTON,BUBIMEX,17
V02FR29,RAW INTESTINO BUFALO 12-15p(250,DAPAC PREMIUM SNACK,38
